id	choice_key	dilemma_key	payload_key	value	target_key
195724	THIRD	sm0_rd_wh_dlc05_sc_wef_wood_elves_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195725	FOURTH	sm0_rd_wh_dlc05_sc_wef_wood_elves_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195726	FIRST	sm0_rd_wh_dlc08_sc_nor_norsca_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195727	FIRST	sm0_rd_wh_dlc08_sc_nor_norsca_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195728	SECOND	sm0_rd_wh_dlc08_sc_nor_norsca_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195729	THIRD	sm0_rd_wh_dlc08_sc_nor_norsca_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195730	FOURTH	sm0_rd_wh_dlc08_sc_nor_norsca_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195731	FIRST	sm0_rd_wh_main_sc_brt_bretonnia_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195732	FIRST	sm0_rd_wh_main_sc_brt_bretonnia_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195733	SECOND	sm0_rd_wh_main_sc_brt_bretonnia_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195734	THIRD	sm0_rd_wh_main_sc_brt_bretonnia_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195735	FOURTH	sm0_rd_wh_main_sc_brt_bretonnia_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195736	FIRST	sm0_rd_wh_main_sc_chs_chaos_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195737	FIRST	sm0_rd_wh_main_sc_chs_chaos_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195738	SECOND	sm0_rd_wh_main_sc_chs_chaos_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195739	THIRD	sm0_rd_wh_main_sc_chs_chaos_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195740	FOURTH	sm0_rd_wh_main_sc_chs_chaos_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195741	FIRST	sm0_rd_wh_main_sc_dwf_dwarfs_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195742	FIRST	sm0_rd_wh_main_sc_dwf_dwarfs_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195743	SECOND	sm0_rd_wh_main_sc_dwf_dwarfs_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195744	THIRD	sm0_rd_wh_main_sc_dwf_dwarfs_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195745	FOURTH	sm0_rd_wh_main_sc_dwf_dwarfs_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195746	FIRST	sm0_rd_wh_main_sc_emp_empire_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195747	FIRST	sm0_rd_wh_main_sc_emp_empire_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195748	SECOND	sm0_rd_wh_main_sc_emp_empire_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195749	THIRD	sm0_rd_wh_main_sc_emp_empire_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195750	FOURTH	sm0_rd_wh_main_sc_emp_empire_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195751	FIRST	sm0_rd_wh_main_sc_grn_greenskins_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195752	FIRST	sm0_rd_wh_main_sc_grn_greenskins_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195753	SECOND	sm0_rd_wh_main_sc_grn_greenskins_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195754	THIRD	sm0_rd_wh_main_sc_grn_greenskins_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195755	FOURTH	sm0_rd_wh_main_sc_grn_greenskins_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195756	FIRST	sm0_rd_wh_main_sc_grn_savage_orcs_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195757	FIRST	sm0_rd_wh_main_sc_grn_savage_orcs_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195758	SECOND	sm0_rd_wh_main_sc_grn_savage_orcs_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195759	THIRD	sm0_rd_wh_main_sc_grn_savage_orcs_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195760	FOURTH	sm0_rd_wh_main_sc_grn_savage_orcs_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195761	FIRST	sm0_rd_wh_main_sc_teb_teb_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195762	FIRST	sm0_rd_wh_main_sc_teb_teb_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195763	SECOND	sm0_rd_wh_main_sc_teb_teb_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195764	THIRD	sm0_rd_wh_main_sc_teb_teb_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195765	FOURTH	sm0_rd_wh_main_sc_teb_teb_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195766	FIRST	sm0_rd_wh_main_sc_vmp_vampire_counts_2	TEXT_DISPLAY	LOOKUP[rd_first]	default
195767	FIRST	sm0_rd_wh_main_sc_vmp_vampire_counts_2	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195768	SECOND	sm0_rd_wh_main_sc_vmp_vampire_counts_2	TEXT_DISPLAY	LOOKUP[rd_second]	default
195769	THIRD	sm0_rd_wh_main_sc_vmp_vampire_counts_2	TEXT_DISPLAY	LOOKUP[rd_third]	default
195770	FOURTH	sm0_rd_wh_main_sc_vmp_vampire_counts_2	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195771	FIRST	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195772	FIRST	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195773	SECOND	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195774	THIRD	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195775	FOURTH	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195776	FIRST	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195777	FIRST	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195778	SECOND	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195779	THIRD	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195780	FOURTH	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195781	FIRST	sm0_rd_wh2_main_rogue_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195782	FIRST	sm0_rd_wh2_main_rogue_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195783	SECOND	sm0_rd_wh2_main_rogue_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195784	THIRD	sm0_rd_wh2_main_rogue_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195785	FOURTH	sm0_rd_wh2_main_rogue_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195786	FIRST	sm0_rd_wh2_main_rogue_chaos_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195787	FIRST	sm0_rd_wh2_main_rogue_chaos_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195788	SECOND	sm0_rd_wh2_main_rogue_chaos_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195789	THIRD	sm0_rd_wh2_main_rogue_chaos_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195790	FOURTH	sm0_rd_wh2_main_rogue_chaos_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195791	FIRST	sm0_rd_wh2_main_sc_def_dark_elves_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195792	FIRST	sm0_rd_wh2_main_sc_def_dark_elves_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195793	SECOND	sm0_rd_wh2_main_sc_def_dark_elves_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195794	THIRD	sm0_rd_wh2_main_sc_def_dark_elves_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195795	FOURTH	sm0_rd_wh2_main_sc_def_dark_elves_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195796	FIRST	sm0_rd_wh2_main_sc_hef_high_elves_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195797	FIRST	sm0_rd_wh2_main_sc_hef_high_elves_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195798	SECOND	sm0_rd_wh2_main_sc_hef_high_elves_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195799	THIRD	sm0_rd_wh2_main_sc_hef_high_elves_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195800	FOURTH	sm0_rd_wh2_main_sc_hef_high_elves_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195801	FIRST	sm0_rd_wh2_main_sc_lzd_lizardmen_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195802	FIRST	sm0_rd_wh2_main_sc_lzd_lizardmen_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195803	SECOND	sm0_rd_wh2_main_sc_lzd_lizardmen_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195804	THIRD	sm0_rd_wh2_main_sc_lzd_lizardmen_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195805	FOURTH	sm0_rd_wh2_main_sc_lzd_lizardmen_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195806	FIRST	sm0_rd_wh2_main_sc_skv_skaven_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195807	FIRST	sm0_rd_wh2_main_sc_skv_skaven_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195808	SECOND	sm0_rd_wh2_main_sc_skv_skaven_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195809	THIRD	sm0_rd_wh2_main_sc_skv_skaven_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195810	FOURTH	sm0_rd_wh2_main_sc_skv_skaven_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195811	FIRST	sm0_rd_wh3_main_sc_cth_cathay_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195812	FIRST	sm0_rd_wh3_main_sc_cth_cathay_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195813	SECOND	sm0_rd_wh3_main_sc_cth_cathay_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195814	THIRD	sm0_rd_wh3_main_sc_cth_cathay_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195815	FOURTH	sm0_rd_wh3_main_sc_cth_cathay_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195816	FIRST	sm0_rd_wh3_main_sc_dae_daemons_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195817	FIRST	sm0_rd_wh3_main_sc_dae_daemons_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195818	SECOND	sm0_rd_wh3_main_sc_dae_daemons_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195819	THIRD	sm0_rd_wh3_main_sc_dae_daemons_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195820	FOURTH	sm0_rd_wh3_main_sc_dae_daemons_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195821	FIRST	sm0_rd_wh3_main_sc_kho_khorne_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195822	FIRST	sm0_rd_wh3_main_sc_kho_khorne_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195823	SECOND	sm0_rd_wh3_main_sc_kho_khorne_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195824	THIRD	sm0_rd_wh3_main_sc_kho_khorne_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195825	FOURTH	sm0_rd_wh3_main_sc_kho_khorne_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195826	FIRST	sm0_rd_wh3_main_sc_ksl_kislev_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195827	FIRST	sm0_rd_wh3_main_sc_ksl_kislev_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195828	SECOND	sm0_rd_wh3_main_sc_ksl_kislev_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195829	THIRD	sm0_rd_wh3_main_sc_ksl_kislev_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195830	FOURTH	sm0_rd_wh3_main_sc_ksl_kislev_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195831	FIRST	sm0_rd_wh3_main_sc_nur_nurgle_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195832	FIRST	sm0_rd_wh3_main_sc_nur_nurgle_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195833	SECOND	sm0_rd_wh3_main_sc_nur_nurgle_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195834	THIRD	sm0_rd_wh3_main_sc_nur_nurgle_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195835	FOURTH	sm0_rd_wh3_main_sc_nur_nurgle_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195836	FIRST	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195837	FIRST	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195838	SECOND	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195839	THIRD	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195840	FOURTH	sm0_rd_wh3_main_sc_ogr_ogre_kingdoms_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195841	FIRST	sm0_rd_wh3_main_sc_sla_slaanesh_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195842	FIRST	sm0_rd_wh3_main_sc_sla_slaanesh_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195843	SECOND	sm0_rd_wh3_main_sc_sla_slaanesh_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195844	THIRD	sm0_rd_wh3_main_sc_sla_slaanesh_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195845	FOURTH	sm0_rd_wh3_main_sc_sla_slaanesh_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195846	FIRST	sm0_rd_wh3_main_sc_tze_tzeentch_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195847	FIRST	sm0_rd_wh3_main_sc_tze_tzeentch_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195848	SECOND	sm0_rd_wh3_main_sc_tze_tzeentch_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195849	THIRD	sm0_rd_wh3_main_sc_tze_tzeentch_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195850	FOURTH	sm0_rd_wh3_main_sc_tze_tzeentch_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195851	FIRST	sm0_rd_wh_dlc03_sc_bst_beastmen_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195852	FIRST	sm0_rd_wh_dlc03_sc_bst_beastmen_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195853	SECOND	sm0_rd_wh_dlc03_sc_bst_beastmen_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195854	THIRD	sm0_rd_wh_dlc03_sc_bst_beastmen_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195855	FOURTH	sm0_rd_wh_dlc03_sc_bst_beastmen_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195856	FIRST	sm0_rd_wh_dlc05_sc_wef_wood_elves_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195857	FIRST	sm0_rd_wh_dlc05_sc_wef_wood_elves_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195858	SECOND	sm0_rd_wh_dlc05_sc_wef_wood_elves_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195859	THIRD	sm0_rd_wh_dlc05_sc_wef_wood_elves_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195860	FOURTH	sm0_rd_wh_dlc05_sc_wef_wood_elves_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195861	FIRST	sm0_rd_wh_dlc08_sc_nor_norsca_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195862	FIRST	sm0_rd_wh_dlc08_sc_nor_norsca_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195863	SECOND	sm0_rd_wh_dlc08_sc_nor_norsca_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195864	THIRD	sm0_rd_wh_dlc08_sc_nor_norsca_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195865	FOURTH	sm0_rd_wh_dlc08_sc_nor_norsca_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195866	FIRST	sm0_rd_wh_main_sc_brt_bretonnia_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195867	FIRST	sm0_rd_wh_main_sc_brt_bretonnia_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195868	SECOND	sm0_rd_wh_main_sc_brt_bretonnia_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195869	THIRD	sm0_rd_wh_main_sc_brt_bretonnia_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195870	FOURTH	sm0_rd_wh_main_sc_brt_bretonnia_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195871	FIRST	sm0_rd_wh_main_sc_chs_chaos_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195872	FIRST	sm0_rd_wh_main_sc_chs_chaos_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195873	SECOND	sm0_rd_wh_main_sc_chs_chaos_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195874	THIRD	sm0_rd_wh_main_sc_chs_chaos_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195875	FOURTH	sm0_rd_wh_main_sc_chs_chaos_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195876	FIRST	sm0_rd_wh_main_sc_dwf_dwarfs_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195877	FIRST	sm0_rd_wh_main_sc_dwf_dwarfs_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195878	SECOND	sm0_rd_wh_main_sc_dwf_dwarfs_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195879	THIRD	sm0_rd_wh_main_sc_dwf_dwarfs_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195880	FOURTH	sm0_rd_wh_main_sc_dwf_dwarfs_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195881	FIRST	sm0_rd_wh_main_sc_emp_empire_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195882	FIRST	sm0_rd_wh_main_sc_emp_empire_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195883	SECOND	sm0_rd_wh_main_sc_emp_empire_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195884	THIRD	sm0_rd_wh_main_sc_emp_empire_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195885	FOURTH	sm0_rd_wh_main_sc_emp_empire_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195886	FIRST	sm0_rd_wh_main_sc_grn_greenskins_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195887	FIRST	sm0_rd_wh_main_sc_grn_greenskins_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195888	SECOND	sm0_rd_wh_main_sc_grn_greenskins_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195889	THIRD	sm0_rd_wh_main_sc_grn_greenskins_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195890	FOURTH	sm0_rd_wh_main_sc_grn_greenskins_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195891	FIRST	sm0_rd_wh_main_sc_grn_savage_orcs_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195892	FIRST	sm0_rd_wh_main_sc_grn_savage_orcs_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195893	SECOND	sm0_rd_wh_main_sc_grn_savage_orcs_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195894	THIRD	sm0_rd_wh_main_sc_grn_savage_orcs_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195895	FOURTH	sm0_rd_wh_main_sc_grn_savage_orcs_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195896	FIRST	sm0_rd_wh_main_sc_teb_teb_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195897	FIRST	sm0_rd_wh_main_sc_teb_teb_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195898	SECOND	sm0_rd_wh_main_sc_teb_teb_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195899	THIRD	sm0_rd_wh_main_sc_teb_teb_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195900	FOURTH	sm0_rd_wh_main_sc_teb_teb_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195901	FIRST	sm0_rd_wh_main_sc_vmp_vampire_counts_3	TEXT_DISPLAY	LOOKUP[rd_first]	default
195902	FIRST	sm0_rd_wh_main_sc_vmp_vampire_counts_3	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195903	SECOND	sm0_rd_wh_main_sc_vmp_vampire_counts_3	TEXT_DISPLAY	LOOKUP[rd_second]	default
195904	THIRD	sm0_rd_wh_main_sc_vmp_vampire_counts_3	TEXT_DISPLAY	LOOKUP[rd_third]	default
195905	FOURTH	sm0_rd_wh_main_sc_vmp_vampire_counts_3	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195906	FIRST	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_4	TEXT_DISPLAY	LOOKUP[rd_first]	default
195907	FIRST	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_4	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195908	SECOND	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_4	TEXT_DISPLAY	LOOKUP[rd_second]	default
195909	THIRD	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_4	TEXT_DISPLAY	LOOKUP[rd_third]	default
195910	FOURTH	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_4	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195911	FIRST	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_4	TEXT_DISPLAY	LOOKUP[rd_first]	default
195912	FIRST	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_4	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195913	SECOND	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_4	TEXT_DISPLAY	LOOKUP[rd_second]	default
195914	THIRD	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_4	TEXT_DISPLAY	LOOKUP[rd_third]	default
195915	FOURTH	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_4	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195916	FIRST	sm0_rd_wh2_main_rogue_4	TEXT_DISPLAY	LOOKUP[rd_first]	default
195917	FIRST	sm0_rd_wh2_main_rogue_4	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195918	SECOND	sm0_rd_wh2_main_rogue_4	TEXT_DISPLAY	LOOKUP[rd_second]	default
195919	THIRD	sm0_rd_wh2_main_rogue_4	TEXT_DISPLAY	LOOKUP[rd_third]	default
195920	FOURTH	sm0_rd_wh2_main_rogue_4	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195921	FIRST	sm0_rd_wh2_main_rogue_chaos_4	TEXT_DISPLAY	LOOKUP[rd_first]	default
195922	FIRST	sm0_rd_wh2_main_rogue_chaos_4	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195923	SECOND	sm0_rd_wh2_main_rogue_chaos_4	TEXT_DISPLAY	LOOKUP[rd_second]	default
195924	THIRD	sm0_rd_wh2_main_rogue_chaos_4	TEXT_DISPLAY	LOOKUP[rd_third]	default
195925	FOURTH	sm0_rd_wh2_main_rogue_chaos_4	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195926	FIRST	sm0_rd_wh2_main_sc_def_dark_elves_4	TEXT_DISPLAY	LOOKUP[rd_first]	default
195927	FIRST	sm0_rd_wh2_main_sc_def_dark_elves_4	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195928	SECOND	sm0_rd_wh2_main_sc_def_dark_elves_4	TEXT_DISPLAY	LOOKUP[rd_second]	default
195929	THIRD	sm0_rd_wh2_main_sc_def_dark_elves_4	TEXT_DISPLAY	LOOKUP[rd_third]	default
195930	FOURTH	sm0_rd_wh2_main_sc_def_dark_elves_4	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195931	FIRST	sm0_rd_wh2_main_sc_hef_high_elves_4	TEXT_DISPLAY	LOOKUP[rd_first]	default
195932	FIRST	sm0_rd_wh2_main_sc_hef_high_elves_4	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195933	SECOND	sm0_rd_wh2_main_sc_hef_high_elves_4	TEXT_DISPLAY	LOOKUP[rd_second]	default
195934	THIRD	sm0_rd_wh2_main_sc_hef_high_elves_4	TEXT_DISPLAY	LOOKUP[rd_third]	default
195935	FOURTH	sm0_rd_wh2_main_sc_hef_high_elves_4	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195936	FIRST	sm0_rd_wh2_main_sc_lzd_lizardmen_4	TEXT_DISPLAY	LOOKUP[rd_first]	default
195937	FIRST	sm0_rd_wh2_main_sc_lzd_lizardmen_4	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195938	SECOND	sm0_rd_wh2_main_sc_lzd_lizardmen_4	TEXT_DISPLAY	LOOKUP[rd_second]	default
195939	THIRD	sm0_rd_wh2_main_sc_lzd_lizardmen_4	TEXT_DISPLAY	LOOKUP[rd_third]	default
195940	FOURTH	sm0_rd_wh2_main_sc_lzd_lizardmen_4	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195941	FIRST	sm0_rd_wh2_main_sc_skv_skaven_4	TEXT_DISPLAY	LOOKUP[rd_first]	default
195942	FIRST	sm0_rd_wh2_main_sc_skv_skaven_4	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195943	SECOND	sm0_rd_wh2_main_sc_skv_skaven_4	TEXT_DISPLAY	LOOKUP[rd_second]	default
195944	THIRD	sm0_rd_wh2_main_sc_skv_skaven_4	TEXT_DISPLAY	LOOKUP[rd_third]	default
195945	FOURTH	sm0_rd_wh2_main_sc_skv_skaven_4	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195946	FIRST	sm0_rd_wh3_main_sc_cth_cathay_4	TEXT_DISPLAY	LOOKUP[rd_first]	default
195947	FIRST	sm0_rd_wh3_main_sc_cth_cathay_4	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195948	SECOND	sm0_rd_wh3_main_sc_cth_cathay_4	TEXT_DISPLAY	LOOKUP[rd_second]	default
